state_name,district_name,nss_region,nss_region_code,NSSO,nsso_district_name,state_nsso_region
Jharkhand,Dhanbad,Hazaribagh Plateau,202,TRUE,Dhanbad,Jharkhand - Hazaribagh Plateau
Jharkhand,Dumka,Hazaribagh Plateau,202,TRUE,Dumka,Jharkhand - Hazaribagh Plateau
Jharkhand,Garhwa,Ranchi Plateau,201,TRUE,Garhwa,Jharkhand - Ranchi Plateau
Jharkhand,Giridih,Hazaribagh Plateau,202,TRUE,Giridih,Jharkhand - Hazaribagh Plateau
Jharkhand,Godda,Hazaribagh Plateau,202,TRUE,Godda,Jharkhand - Hazaribagh Plateau
Jharkhand,Gumla,Ranchi Plateau,201,TRUE,Gumla,Jharkhand - Ranchi Plateau
Jharkhand,Hazaribagh,Hazaribagh Plateau,202,TRUE,Hazaribagh,Jharkhand - Hazaribagh Plateau
Jharkhand,Jamtara,Hazaribagh Plateau,202,TRUE,Jamtara,Jharkhand - Hazaribagh Plateau
Jharkhand,Khunti,Ranchi Plateau,201,TRUE,Khunti,Jharkhand - Ranchi Plateau
Jharkhand,Kodarma,Hazaribagh Plateau,202,TRUE,Kodarma,Jharkhand - Hazaribagh Plateau
Jharkhand,Latehar,Ranchi Plateau,201,TRUE,Latehar,Jharkhand - Ranchi Plateau
Jharkhand,Lohardaga,Ranchi Plateau,201,TRUE,Lohardaga,Jharkhand - Ranchi Plateau
Jharkhand,Pakur,Hazaribagh Plateau,202,TRUE,Pakur,Jharkhand - Hazaribagh Plateau
Jharkhand,Palamu,Ranchi Plateau,201,TRUE,Palamu,Jharkhand - Ranchi Plateau
Jharkhand,Pashchimisinghbhum,Ranchi Plateau,201,TRUE,Pashchimi Singhbhum,Jharkhand - Ranchi Plateau
Jharkhand,Purbisinghbhum,Ranchi Plateau,201,TRUE,Purbi Singhbhum,Jharkhand - Ranchi Plateau
Jharkhand,Ramgarh,Hazaribagh Plateau,202,TRUE,Ramgarh,Jharkhand - Hazaribagh Plateau
Jharkhand,Ranchi,Ranchi Plateau,201,TRUE,Ranchi,Jharkhand - Ranchi Plateau
Jharkhand,Sahibganj,Hazaribagh Plateau,202,TRUE,Sahibganj,Jharkhand - Hazaribagh Plateau
Jharkhand,Saraikelakharsawan,Ranchi Plateau,201,TRUE,SaraikelaKharsawan,Jharkhand - Ranchi Plateau
Jharkhand,Simdega,Ranchi Plateau,201,TRUE,Simdega,Jharkhand - Ranchi Plateau
Karnataka,Bagalkot,Inland Northern,294,TRUE,Bagalkot,Karnataka - Inland Northern
Karnataka,Bangalore,Inland Southern,293,TRUE,Bangalore,Karnataka - Inland Southern
Karnataka,Bangalorerural,Inland Southern,293,TRUE,Bangalore Rural,Karnataka - Inland Southern
Karnataka,Belgaum,Inland Northern,294,TRUE,Belgaum,Karnataka - Inland Northern
Karnataka,Bellary,Inland Northern,294,TRUE,Bellary,Karnataka - Inland Northern
Karnataka,Bidar,Inland Northern,294,TRUE,Bidar,Karnataka - Inland Northern
Karnataka,Bijapur,Inland Northern,294,TRUE,Bijapur,Karnataka - Inland Northern
Karnataka,Chamarajanagar,Inland Southern,293,TRUE,Chamarajanagar,Karnataka - Inland Southern
Karnataka,Chikkaballapura,Inland Southern,293,TRUE,Chikkaballapura,Karnataka - Inland Southern
Karnataka,Chikmagalur,Inland Eastern,292,TRUE,Chikmagalur,Karnataka - Inland Eastern
Karnataka,Chitradurga,Inland Northern,294,TRUE,Chitradurga,Karnataka - Inland Northern
Karnataka,Dakshinakannada,Coastal & Ghats,291,TRUE,Dakshina Kannada,Karnataka - Coastal & Ghats
Karnataka,Davanagere,Inland Northern,294,TRUE,Davanagere,Karnataka - Inland Northern
Karnataka,Dharwad,Inland Northern,294,TRUE,Dharwad,Karnataka - Inland Northern
Karnataka,Gadag,Inland Northern,294,TRUE,Gadag,Karnataka - Inland Northern
Karnataka,Gulbarga,Inland Northern,294,TRUE,Gulbarga,Karnataka - Inland Northern
Karnataka,Hassan,Inland Eastern,292,TRUE,Hassan,Karnataka - Inland Eastern
Karnataka,Haveri,Inland Northern,294,TRUE,Haveri,Karnataka - Inland Northern
Karnataka,Kodagu,Inland Eastern,292,TRUE,Kodagu,Karnataka - Inland Eastern
Karnataka,Kolar,Inland Southern,293,TRUE,Kolar,Karnataka - Inland Southern
Karnataka,Koppal,Inland Northern,294,TRUE,Koppal,Karnataka - Inland Northern
Karnataka,Mandya,Inland Southern,293,TRUE,Mandya,Karnataka - Inland Southern
Karnataka,Mysore,Inland Southern,293,TRUE,Mysore,Karnataka - Inland Southern
Karnataka,Raichur,Inland Northern,294,TRUE,Raichur,Karnataka - Inland Northern
Karnataka,Ramanagara,Inland Southern,293,TRUE,Ramanagara,Karnataka - Inland Southern
Karnataka,Shimoga,Inland Eastern,292,TRUE,Shimoga,Karnataka - Inland Eastern
Karnataka,Tumkur,Inland Southern,293,TRUE,Tumkur,Karnataka - Inland Southern
Karnataka,Udupi,Coastal & Ghats,291,TRUE,Udupi,Karnataka - Coastal & Ghats
Karnataka,Uttarakannada,Coastal & Ghats,291,TRUE,Uttara Kannada,Karnataka - Coastal & Ghats
Karnataka,Yadgir,Inland Northern,294,TRUE,Yadgir,Karnataka - Inland Northern
Kerala,Alappuzha,Southern,322,TRUE,Alappuzha,Kerala - Southern
Kerala,Ernakulam,Southern,322,TRUE,Ernakulam,Kerala - Southern
Kerala,Idukki,Southern,322,TRUE,Idukki,Kerala - Southern
Kerala,Kannur,Northern,321,TRUE,Kannur,Kerala - Northern
Kerala,Kasaragod,Northern,321,TRUE,Kasaragod,Kerala - Northern
Kerala,Kollam,Southern,322,TRUE,Kollam,Kerala - Southern
Kerala,Kottayam,Southern,322,TRUE,Kottayam,Kerala - Southern
Kerala,Kozhikode,Northern,321,TRUE,Kozhikode,Kerala - Northern
Kerala,Malappuram,Northern,321,TRUE,Malappuram,Kerala - Northern
Kerala,Palakkad,Northern,321,TRUE,Palakkad,Kerala - Northern
Kerala,Pathanamthitta,Southern,322,TRUE,Pathanamthitta,Kerala - Southern
Kerala,Thiruvananthapuram,Southern,322,TRUE,Thiruvananthapuram,Kerala - Southern
Kerala,Thrissur,Southern,322,TRUE,Thrissur,Kerala - Southern
Kerala,Wayanad,Northern,321,TRUE,Wayanad,Kerala - Northern
Lakshadweep,Lakshadweep,Lakshadweep,311,TRUE,Lakshadweep,Lakshadweep - Lakshadweep
Madhya Pradesh,Alirajpur,Malwa,233,TRUE,Alirajpur,Madhya Pradesh - Malwa
Madhya Pradesh,Anuppur,Vindhya,231,TRUE,Anuppur,Madhya Pradesh - Vindhya
Madhya Pradesh,Ashoknagar,Northern,236,TRUE,Ashoknagar,Madhya Pradesh - Northern
Madhya Pradesh,Balaghat,South,234,TRUE,Balaghat,Madhya Pradesh - South
Madhya Pradesh,Barwani,South Western,235,TRUE,Barwani,Madhya Pradesh - South Western
Madhya Pradesh,Betul,South Western,235,TRUE,Betul,Madhya Pradesh - South Western
Madhya Pradesh,Bhind,Northern,236,TRUE,Bhind,Madhya Pradesh - Northern
Madhya Pradesh,Bhopal,Central,232,TRUE,Bhopal,Madhya Pradesh - Central
Madhya Pradesh,Burhanpur,South Western,235,TRUE,Burhanpur,Madhya Pradesh - South Western
Madhya Pradesh,Chhatarpur,Vindhya,231,TRUE,Chhatarpur,Madhya Pradesh - Vindhya
Madhya Pradesh,Chhindwara,South,234,TRUE,Chhindwara,Madhya Pradesh - South
Madhya Pradesh,Damoh,Central,232,TRUE,Damoh,Madhya Pradesh - Central
Madhya Pradesh,Datia,Northern,236,TRUE,Datia,Madhya Pradesh - Northern
Madhya Pradesh,Dewas,Malwa,233,TRUE,Dewas,Madhya Pradesh - Malwa
Madhya Pradesh,Dhar,Malwa,233,TRUE,Dhar,Madhya Pradesh - Malwa
Madhya Pradesh,Dindori,South,234,TRUE,Dindori,Madhya Pradesh - South
Madhya Pradesh,Guna,Northern,236,TRUE,Guna,Madhya Pradesh - Northern
Madhya Pradesh,Gwalior,Northern,236,TRUE,Gwalior,Madhya Pradesh - Northern
Madhya Pradesh,Harda,South Western,235,TRUE,Harda,Madhya Pradesh - South Western
Madhya Pradesh,Hoshangabad,South Western,235,TRUE,Hoshangabad,Madhya Pradesh - South Western
Madhya Pradesh,Indore,Malwa,233,TRUE,Indore,Madhya Pradesh - Malwa
Madhya Pradesh,Jabalpur,South,234,TRUE,Jabalpur,Madhya Pradesh - South
Madhya Pradesh,Jhabua,Malwa,233,TRUE,Jhabua,Madhya Pradesh - Malwa
Madhya Pradesh,Katni,South,234,TRUE,Katni,Madhya Pradesh - South
Madhya Pradesh,Khandwa(Eastnimar),South Western,235,TRUE,Khandwa (East Nimar),Madhya Pradesh - South Western
Madhya Pradesh,Khargone(Westnimar),South Western,235,TRUE,Khargone (West Nimar),Madhya Pradesh - South Western
Madhya Pradesh,Mandla,South,234,TRUE,Mandla,Madhya Pradesh - South
Madhya Pradesh,Mandsaur,Malwa,233,TRUE,Mandsaur,Madhya Pradesh - Malwa
Madhya Pradesh,Morena,Northern,236,TRUE,Morena,Madhya Pradesh - Northern
Madhya Pradesh,Narsimhapur,South,234,TRUE,Narsimhapur,Madhya Pradesh - South
Madhya Pradesh,Neemuch,Malwa,233,TRUE,Neemuch,Madhya Pradesh - Malwa
Madhya Pradesh,Panna,Vindhya,231,TRUE,Panna,Madhya Pradesh - Vindhya
Madhya Pradesh,Raisen,Central,232,TRUE,Raisen,Madhya Pradesh - Central
Madhya Pradesh,Rajgarh,Malwa,233,TRUE,Rajgarh,Madhya Pradesh - Malwa
Madhya Pradesh,Ratlam,Malwa,233,TRUE,Ratlam,Madhya Pradesh - Malwa
Madhya Pradesh,Rewa,Vindhya,231,TRUE,Rewa,Madhya Pradesh - Vindhya
Madhya Pradesh,Sagar,Central,232,TRUE,Sagar,Madhya Pradesh - Central
Madhya Pradesh,Satna,Vindhya,231,TRUE,Satna,Madhya Pradesh - Vindhya
Madhya Pradesh,Sehore,Central,232,TRUE,Sehore,Madhya Pradesh - Central
Madhya Pradesh,Seoni,South,234,TRUE,Seoni,Madhya Pradesh - South
Madhya Pradesh,Shahdol,Vindhya,231,TRUE,Shahdol,Madhya Pradesh - Vindhya
Madhya Pradesh,Shajapur,Malwa,233,TRUE,Shajapur,Madhya Pradesh - Malwa
Madhya Pradesh,Sheopur,Northern,236,TRUE,Sheopur,Madhya Pradesh - Northern
Madhya Pradesh,Shivpuri,Northern,236,TRUE,Shivpuri,Madhya Pradesh - Northern
Madhya Pradesh,Sidhi,Vindhya,231,TRUE,Sidhi,Madhya Pradesh - Vindhya
Madhya Pradesh,Singrauli,Vindhya,231,TRUE,Singrauli,Madhya Pradesh - Vindhya
Madhya Pradesh,Tikamgarh,Vindhya,231,TRUE,Tikamgarh,Madhya Pradesh - Vindhya
Madhya Pradesh,Ujjain,Malwa,233,TRUE,Ujjain,Madhya Pradesh - Malwa
Madhya Pradesh,Umaria,Vindhya,231,TRUE,Umaria,Madhya Pradesh - Vindhya
Madhya Pradesh,Vidisha,Central,232,TRUE,Vidisha,Madhya Pradesh - Central
Maharashtra,Ahmadnagar,Inland Western,272,TRUE,Ahmadnagar,Maharashtra - Inland Western
Maharashtra,Akola,Inland Eastern,275,TRUE,Akola,Maharashtra - Inland Eastern
Maharashtra,Amravati,Inland Eastern,275,TRUE,Amravati,Maharashtra - Inland Eastern
Maharashtra,Aurangabad,Inland Central,274,TRUE,Aurangabad,Maharashtra - Inland Central
Maharashtra,Bhandara,Eastern,276,TRUE,Bhandara,Maharashtra - Eastern
Maharashtra,Bid,Inland Central,274,TRUE,Bid,Maharashtra - Inland Central
Maharashtra,Buldana,Inland Eastern,275,TRUE,Buldana,Maharashtra - Inland Eastern
Maharashtra,Chandrapur,Eastern,276,TRUE,Chandrapur,Maharashtra - Eastern
Maharashtra,Dhule,Inland Northern,273,TRUE,Dhule,Maharashtra - Inland Northern
Maharashtra,Gadchiroli,Eastern,276,TRUE,Gadchiroli,Maharashtra - Eastern
Maharashtra,Gondiya,Eastern,276,TRUE,Gondiya,Maharashtra - Eastern
Maharashtra,Hingoli,Inland Central,274,TRUE,Hingoli,Maharashtra - Inland Central
Maharashtra,Jalgaon,Inland Northern,273,TRUE,Jalgaon,Maharashtra - Inland Northern
Maharashtra,Jalna,Inland Central,274,TRUE,Jalna,Maharashtra - Inland Central
Maharashtra,Kolhapur,Inland Western,272,TRUE,Kolhapur,Maharashtra - Inland Western
Maharashtra,Latur,Inland Central,274,TRUE,Latur,Maharashtra - Inland Central
Maharashtra,Mumbai,Coastal,271,TRUE,Mumbai,Maharashtra - Coastal
Maharashtra,Mumbaisuburban,Coastal,271,TRUE,Mumbai Suburban,Maharashtra - Coastal
Maharashtra,Nagpur,Inland Eastern,275,TRUE,Nagpur,Maharashtra - Inland Eastern
Maharashtra,Nanded,Inland Central,274,TRUE,Nanded,Maharashtra - Inland Central
Maharashtra,Nandurbar,Inland Northern,273,TRUE,Nandurbar,Maharashtra - Inland Northern
Maharashtra,Nashik,Inland Northern,273,TRUE,Nashik,Maharashtra - Inland Northern
Maharashtra,Osmanabad,Inland Central,274,TRUE,Osmanabad,Maharashtra - Inland Central
Maharashtra,Parbhani,Inland Central,274,TRUE,Parbhani,Maharashtra - Inland Central
Maharashtra,Pune,Inland Western,272,TRUE,Pune,Maharashtra - Inland Western
Maharashtra,Raigarh,Coastal,271,TRUE,Raigarh,Maharashtra - Coastal
